epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.2106,2.51054,5.00727,1.5976,0.00233,0.27222,0.04965,0.03612,1.4177,4.64527,1.13757,6e-05,6e-05,6e-05
2,85.534,1.989,4.09897,1.29875,0.0037,0.44259,0.1181,0.05261,1.53064,4.56455,1.12344,0.000128713,0.000128713,0.000128713
3,124.21,2.09239,3.10972,1.25254,0.00552,0.51898,0.17637,0.12549,1.48575,4.35203,1.01585,0.00019604,0.00019604,0.00019604
4,161.097,1.93819,2.61168,1.26177,0.00488,0.51898,0.17232,0.13678,1.41319,4.17788,0.96797,0.000261981,0.000261981,0.000261981
5,199.498,1.90284,2.28524,1.18631,0.00374,0.51412,0.22697,0.17505,1.42741,4.03564,0.93347,0.000326536,0.000326536,0.000326536
6,235.071,1.76395,2.27486,1.13351,0.00328,0.50856,0.26583,0.21939,1.33183,3.94286,0.91652,0.000389705,0.000389705,0.000389705
7,271.329,1.72426,2.24632,1.13604,0.00589,0.6316,0.26524,0.21006,1.34968,3.78645,0.91157,0.000451488,0.000451488,0.000451488
8,306.958,1.62652,1.91295,1.04272,0.98244,0.08333,0.28311,0.23352,1.33718,3.66614,0.90598,0.000511885,0.000511885,0.000511885
9,342.04,1.57907,1.87641,1.07218,0.95977,0.125,0.2934,0.21471,1.2818,3.62335,0.92439,0.000570896,0.000570896,0.000570896
10,380.009,1.70819,1.89762,1.06246,0.9664,0.21233,0.39693,0.31148,1.36464,3.43909,0.93147,0.000628521,0.000628521,0.000628521
11,415.569,1.70683,1.92353,1.10851,1,0.19218,0.4752,0.36402,1.43581,3.34232,0.99259,0.00068476,0.00068476,0.00068476
12,451.804,1.75456,1.81785,1.08627,0.53605,0.37316,0.45637,0.34996,1.47844,3.17415,1.01965,0.000739613,0.000739613,0.000739613
13,488.018,1.50409,1.75684,1.03227,0.4377,0.38964,0.45542,0.35063,1.45292,2.86745,1.01072,0.00079308,0.00079308,0.00079308
14,526.242,1.52833,1.65372,1.05387,0.69106,0.48803,0.52197,0.39801,1.37998,2.79869,0.9551,0.000845161,0.000845161,0.000845161
15,562.381,1.54285,1.52436,1.03812,0.56598,0.48704,0.53891,0.40276,1.39253,2.4411,1.01266,0.0008614,0.0008614,0.0008614
16,601.194,1.54046,1.54293,1.01768,0.65231,0.59061,0.57511,0.43392,1.32414,2.45805,0.9872,0.0008515,0.0008515,0.0008515
17,644.757,1.46897,1.42938,1.01018,0.69026,0.60593,0.64093,0.45139,1.32913,2.36017,0.98718,0.0008416,0.0008416,0.0008416
18,691.831,1.45773,1.46768,1.00534,0.5111,0.65481,0.60397,0.46599,1.27471,2.29072,1.00634,0.0008317,0.0008317,0.0008317
19,754.864,1.33755,1.48898,1.02288,0.66106,0.64703,0.60142,0.4768,1.26086,1.89864,1.03836,0.0008218,0.0008218,0.0008218
20,816.853,1.49753,1.5236,1.02441,0.63159,0.69136,0.6095,0.47263,1.23268,2.08366,1.00759,0.0008119,0.0008119,0.0008119
21,870.046,1.42231,1.41722,0.97611,0.60284,0.68487,0.64861,0.48643,1.24014,2.18447,1.01731,0.000802,0.000802,0.000802
22,925.942,1.52367,1.49638,1.01677,0.65904,0.60926,0.64453,0.4797,1.21167,1.72747,0.99014,0.0007921,0.0007921,0.0007921
23,976.001,1.40197,1.42631,0.9685,0.70703,0.65718,0.75714,0.53479,1.23563,1.5776,1.00575,0.0007822,0.0007822,0.0007822
24,1021.7,1.41047,1.35627,0.99203,0.66776,0.73704,0.74437,0.55176,1.20647,1.61443,0.99764,0.0007723,0.0007723,0.0007723
25,1135.95,1.47394,1.39023,1.01107,0.63728,0.69823,0.72931,0.56117,1.16086,1.66137,0.98528,0.0007624,0.0007624,0.0007624
26,1203.2,1.36673,1.36885,0.97168,0.67192,0.68959,0.67563,0.5209,1.23153,1.84218,1.02203,0.0007525,0.0007525,0.0007525
27,1269.19,1.35031,1.25982,0.96144,0.6808,0.70996,0.69467,0.51884,1.25133,1.91225,1.03721,0.0007426,0.0007426,0.0007426
28,1319.25,1.3216,1.23249,0.95501,0.72364,0.82137,0.76307,0.57992,1.24534,1.49019,1.08085,0.0007327,0.0007327,0.0007327
29,1366.16,1.35743,1.24889,0.97972,0.7554,0.79448,0.75751,0.5681,1.24771,1.36669,1.07916,0.0007228,0.0007228,0.0007228
30,1409.92,1.36523,1.27895,0.98547,0.7781,0.78989,0.78715,0.60042,1.19736,1.30075,1.04044,0.0007129,0.0007129,0.0007129
31,1449.28,1.22953,1.17252,0.93922,0.78282,0.77896,0.78317,0.6031,1.16383,1.28726,1.02526,0.000703,0.000703,0.000703
