epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.5138,1.25102,4.59303,1.05416,0.00257,0.7672,0.2292,0.19958,0.70151,4.24792,0.85636,7.145e-05,7.145e-05,7.145e-05
2,77.8974,0.96064,3.61362,0.90549,0.00334,0.96296,0.35443,0.27876,0.71555,4.05616,0.80034,0.000154078,0.000154078,0.000154078
3,106.768,0.77949,2.74846,0.86385,0.00336,0.96296,0.34282,0.28599,0.54652,3.94884,0.75098,0.00023331,0.00023331,0.00023331
4,135.923,0.61013,2.67771,0.78552,0.00343,0.96296,0.38923,0.33369,0.53931,3.92971,0.74188,0.000309147,0.000309147,0.000309147
5,163.472,0.67389,2.04242,0.84632,0.00358,1,0.30688,0.24027,0.52308,4.01298,0.76199,0.000381589,0.000381589,0.000381589
6,193.078,0.63836,1.66669,0.82818,0.0035,1,0.13842,0.11513,0.47434,3.92296,0.77131,0.000450635,0.000450635,0.000450635
7,222.693,0.61934,1.48056,0.81955,0.00353,1,0.28595,0.25078,0.48173,3.82916,0.78777,0.000516286,0.000516286,0.000516286
8,251.552,0.66509,1.47656,0.86947,0.00358,1,0.7468,0.67885,0.48565,3.61753,0.77229,0.000578542,0.000578542,0.000578542
9,279.044,0.64413,1.26555,0.89655,0.00347,0.96296,0.66334,0.58682,0.51857,3.64883,0.78457,0.000637403,0.000637403,0.000637403
10,313.44,0.61057,1.3554,0.84941,0.00337,0.96296,0.4826,0.42811,0.51073,3.57508,0.78307,0.000692868,0.000692868,0.000692868
11,343.503,0.58039,1.33878,0.82228,0.55376,0.69737,0.61822,0.55293,0.47241,3.39046,0.77565,0.000744938,0.000744938,0.000744938
12,371.502,0.55592,1.33193,0.83713,0.66667,0.27259,0.55191,0.50009,0.49946,3.26306,0.7759,0.000793612,0.000793612,0.000793612
13,402.399,0.6289,1.30928,0.83244,0.63401,0.29091,0.63112,0.565,0.4989,2.89298,0.78596,0.000838892,0.000838892,0.000838892
14,436.552,0.53813,1.10895,0.85068,0.93573,0.38088,0.79648,0.71574,0.52035,2.83977,0.79102,0.000880776,0.000880776,0.000880776
15,470.516,0.67211,1.49105,0.87124,1,0.42356,0.84241,0.74848,0.53667,2.81256,0.79648,0.000919264,0.000919264,0.000919264
16,498.972,0.61097,1.21489,0.83894,0.98185,0.88931,0.95969,0.86528,0.4746,2.26032,0.76902,0.000954358,0.000954358,0.000954358
17,525.759,0.5904,1.00839,0.8434,0.97336,0.93264,0.95959,0.86653,0.49956,2.08676,0.76977,0.000976293,0.000976293,0.000976293
18,552.894,0.58155,1.10079,0.82366,0.9892,0.95263,0.95946,0.86244,0.48169,1.75111,0.76356,0.000947999,0.000947999,0.000947999
19,579.098,0.51559,1.02719,0.83937,0.97317,0.95022,0.95982,0.89021,0.41637,1.48011,0.74721,0.000919704,0.000919704,0.000919704
20,605.279,0.60237,1.01098,0.84005,0.91981,0.92096,0.9525,0.88405,0.45311,1.80349,0.75116,0.00089141,0.00089141,0.00089141
21,631.893,0.5647,1.05769,0.83734,0.93205,0.93954,0.9525,0.85765,0.46905,1.74894,0.75243,0.000863116,0.000863116,0.000863116
22,659.56,0.58418,1.07242,0.82044,0.97695,0.96296,0.95855,0.87094,0.4415,1.30713,0.7517,0.000834822,0.000834822,0.000834822
23,688.134,0.55456,0.99074,0.83332,0.98673,0.95842,0.95833,0.86768,0.44202,1.16684,0.75749,0.000806528,0.000806528,0.000806528
24,714.579,0.52305,0.906,0.83876,0.96897,0.96296,0.95833,0.87261,0.44811,1.03621,0.76169,0.000778233,0.000778233,0.000778233
25,741.035,0.51259,0.9093,0.85135,0.96445,0.96296,0.95833,0.8955,0.4065,1.06742,0.74809,0.000749939,0.000749939,0.000749939
26,768.367,0.54448,0.94667,0.84088,0.98125,0.96296,0.95833,0.88398,0.40582,0.99248,0.74461,0.000721645,0.000721645,0.000721645
27,794.949,0.50859,0.98037,0.82549,0.99055,0.96296,0.95851,0.90817,0.3814,0.87819,0.73961,0.000693351,0.000693351,0.000693351
28,820.645,0.55878,1.03765,0.83051,0.98571,0.96296,0.95833,0.89776,0.35198,0.87805,0.73601,0.000665057,0.000665057,0.000665057
29,847.428,0.49093,0.82129,0.78474,0.98311,0.96296,0.95833,0.89968,0.36233,0.88732,0.73596,0.000636762,0.000636762,0.000636762
30,874.252,0.54326,0.90868,0.8492,0.9791,0.96296,0.95851,0.91242,0.37689,0.84402,0.74339,0.000608468,0.000608468,0.000608468
31,901.443,0.50337,0.80521,0.85496,0.97805,0.96076,0.95855,0.89375,0.38739,0.83853,0.74387,0.000580174,0.000580174,0.000580174
32,927.441,0.47416,0.78243,0.85425,0.98552,0.96148,0.95833,0.88525,0.36968,0.82773,0.74002,0.00055188,0.00055188,0.00055188
33,952.8,0.48146,0.90812,0.82215,0.9849,0.96296,0.95833,0.88411,0.34631,0.82099,0.73909,0.000523586,0.000523586,0.000523586
34,979.941,0.46219,0.8352,0.83263,0.99071,0.96296,0.95833,0.91593,0.32471,0.80294,0.73757,0.000495291,0.000495291,0.000495291
35,1007.81,0.44835,0.73664,0.82568,0.99208,0.96296,0.95833,0.91809,0.32175,0.76304,0.73631,0.000466997,0.000466997,0.000466997
36,1037.22,0.4297,0.77155,0.82616,0.99223,0.96296,0.95833,0.91277,0.33161,0.74319,0.73136,0.000438703,0.000438703,0.000438703
37,1064.65,0.46316,0.83598,0.82792,0.992,0.96296,0.95833,0.92088,0.3297,0.73732,0.73028,0.000410409,0.000410409,0.000410409
38,1092.68,0.38765,0.73282,0.8194,0.99193,0.96296,0.95833,0.92342,0.31496,0.69283,0.73068,0.000382115,0.000382115,0.000382115
39,1121.5,0.41266,0.68775,0.81311,0.99365,0.96296,0.95833,0.92142,0.31182,0.6805,0.73107,0.00035382,0.00035382,0.00035382
40,1154.07,0.43702,0.70055,0.82378,0.99089,0.96296,0.95872,0.9136,0.31268,0.68777,0.73148,0.000325526,0.000325526,0.000325526
41,1187.38,0.3944,0.8721,0.79756,0.9841,0.96296,0.95858,0.91828,0.3252,0.71708,0.73093,0.000297232,0.000297232,0.000297232
42,1217.68,0.37287,0.90781,0.79413,0.97223,0.95944,0.95833,0.91919,0.33664,0.78205,0.73064,0.000268938,0.000268938,0.000268938
43,1250.67,0.43461,0.96532,0.81713,0.98171,0.9618,0.95833,0.92019,0.33029,0.77555,0.73128,0.000240644,0.000240644,0.000240644
44,1281.39,0.40398,0.90766,0.82743,0.99226,0.96296,0.95833,0.93558,0.31051,0.68766,0.73069,0.000212349,0.000212349,0.000212349
45,1312.85,0.35848,0.81758,0.77396,0.99228,0.96296,0.95833,0.92981,0.30931,0.65149,0.73229,0.000184055,0.000184055,0.000184055
46,1342.98,0.38624,0.83645,0.81559,0.99207,0.96296,0.95833,0.93958,0.29992,0.63364,0.73046,0.000155761,0.000155761,0.000155761
47,1375.52,0.35652,0.78611,0.79711,0.99197,0.96296,0.9586,0.9337,0.29769,0.63584,0.72897,0.000127467,0.000127467,0.000127467
48,1409.17,0.35766,0.817,0.83121,0.99151,0.96296,0.95884,0.92467,0.29522,0.63555,0.72714,9.91726e-05,9.91726e-05,9.91726e-05
49,1440.74,0.34455,0.8828,0.82931,0.99114,0.96296,0.95896,0.92483,0.29317,0.63067,0.72672,7.08784e-05,7.08784e-05,7.08784e-05
50,1474.85,0.34049,0.81731,0.82523,0.99068,0.96296,0.95899,0.93073,0.28961,0.62506,0.7263,4.25842e-05,4.25842e-05,4.25842e-05
